x,y,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,STATION_NAME,TOTAL_RAIN_FLAG,TOTAL_SNOW,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION,LOCAL_DATE,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,LOCAL_YEAR,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,ID,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,PROVINCE_CODE,TOTAL_RAIN,COOLING_DEGREE_DAYS
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,43,0,2023-04-14 00:00:00,,15.5,,2023,,88,2.5,,,7.3,,40,,7094637.2023.4.14,14,,,4,,-2.2,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,26,0,2023-04-15 00:00:00,,7.2,,2023,,78,10.8,,,23,,37,,7094637.2023.4.15,15,,,4,,-1.4,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,22,0,2023-04-16 00:00:00,,5.6,,2023,,81,12.4,,,25.1,,29,,7094637.2023.4.16,16,,,4,,-0.2,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,61,7.7,2023-04-17 00:00:00,,10.3,,2023,,99,7.7,,,15,,21,,7094637.2023.4.17,17,,,4,,0.4,QC,,0
-77.79307222222222,49.757783333333336,36,7094637,,,,MATAGAMI,,,88,7.2,2023-04-18 00:00:00,,19.1,30,2023,,100,-1.1,,,2.8,,12,,7094637.2023.4.18,18,,,4,,-5.1,QC,,0
-77.79307222222222,49.757783333333336,32,7094637,,,,MATAGAMI,,,69,0.1,2023-04-19 00:00:00,,23.1,30,2023,,90,-5.1,,,-4.1,,10,,7094637.2023.4.19,19,,,4,,-6.2,QC,,0
-77.79307222222222,49.757783333333336,31,7094637,,,,MATAGAMI,,,53,0,2023-04-20 00:00:00,,19.5,31,2023,,95,-1.5,,,3,,10,,7094637.2023.4.20,20,,,4,,-5.9,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,70,7.9,2023-04-21 00:00:00,,18.2,,2023,,99,-0.2,,,2,,8,,7094637.2023.4.21,21,,,4,,-2.5,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,89,13.7,2023-04-22 00:00:00,,15,,2023,,99,3,,,4.8,,7,,7094637.2023.4.22,22,,,4,,1.3,QC,,0
-77.79307222222222,49.757783333333336,39,7094637,,,,MATAGAMI,,,68,2.4,2023-04-23 00:00:00,,14.2,20,2023,,99,3.8,,,8,,2,,7094637.2023.4.23,23,,,4,,-0.4,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,85,2.4,2023-04-24 00:00:00,,18.1,,2023,,97,-0.1,,,1.7,,,,7094637.2023.4.24,24,,,4,,-1.8,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,82,2.8,2023-04-25 00:00:00,,16.1,,2023,,99,1.9,,,5.7,,,,7094637.2023.4.25,25,,,4,,-1.9,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,58,1.4,2023-04-26 00:00:00,,15.2,,2023,,99,2.8,,,7.4,,,,7094637.2023.4.26,26,,,4,,-1.8,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,42,0,2023-04-27 00:00:00,,14.4,,2023,,96,3.6,,,8.9,,,,7094637.2023.4.27,27,,,4,,-1.7,QC,,0
-77.79307222222222,49.757783333333336,33,7094637,,,,MATAGAMI,,,33,0,2023-04-28 00:00:00,,8.9,17,2023,,79,9.1,,,16,,,,7094637.2023.4.28,28,,,4,,2.2,QC,,0
-77.79307222222222,49.757783333333336,44,7094637,,,,MATAGAMI,,,38,2,2023-04-29 00:00:00,,7.8,17,2023,,92,10.2,,,15.6,,,,7094637.2023.4.29,29,,,4,,4.8,QC,,0
-77.79307222222222,49.757783333333336,34,7094637,,,,MATAGAMI,,,70,6.1,2023-04-30 00:00:00,,9.6,10,2023,,97,8.4,,,11.2,,,,7094637.2023.4.30,30,,,4,,5.5,QC,,0
-77.79307222222222,49.757783333333336,60,7094637,,,,MATAGAMI,,,83,9,2023-05-01 00:00:00,,11.8,14,2023,,97,6.2,,,8.4,,,,7094637.2023.5.1,1,,,5,,4.1,QC,,0
-77.79307222222222,49.757783333333336,34,7094637,,,,MATAGAMI,,,49,0,2023-05-02 00:00:00,,11,11,2023,,97,7,,,12.6,,,,7094637.2023.5.2,2,,,5,,1.4,QC,,0
-77.79307222222222,49.757783333333336,,7094637,,,,MATAGAMI,,,52,0,2023-05-03 00:00:00,,9.2,,2023,,84,8.8,,,13.6,,,,7094637.2023.5.3,3,,,5,,4.1,QC,,0
