x,y,MAX_TEMPERATURE,PROVINCE_CODE,TOTAL_RAIN,COOLING_DEGREE_DAYS,MEAN_TEMPERATURE,TOTAL_SNOW,CLIMATE_IDENTIFIER,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,STATION_NAME,ID,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,LOCAL_DATE,LOCAL_YEAR,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,LOCAL_DAY,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST
-77.78277777777778,48.053333333333335,17.4,QC,,0,12.2,,7098605,8,,VAL D'OR A,7098605.2011.8.25,1.8,,0,5.8,2011-08-25 00:00:00,2011,M,,,,25,,,,,,M,6.9,,,,,0
-77.78277777777778,48.053333333333335,23,QC,,0,12.9,,7098605,8,,VAL D'OR A,7098605.2011.8.26,0,,0,5.1,2011-08-26 00:00:00,2011,M,,,,26,,,,,,M,2.7,,,,,0
-77.78277777777778,48.053333333333335,20.9,QC,,0,15.3,,7098605,8,,VAL D'OR A,7098605.2011.8.27,1.5,,0,2.7,2011-08-27 00:00:00,2011,M,,,,27,,,,,,M,9.6,,,,,0
-77.78277777777778,48.053333333333335,16.9,QC,,0,12.2,,7098605,8,,VAL D'OR A,7098605.2011.8.28,0,,0,5.8,2011-08-28 00:00:00,2011,M,,,,28,,,,,,M,7.4,,,,,0
-77.78277777777778,48.053333333333335,20.5,QC,,0,14.8,,7098605,8,,VAL D'OR A,7098605.2011.8.29,2.3,,0,3.2,2011-08-29 00:00:00,2011,M,,,,29,,,,,,M,9.1,,,,,0
-77.78277777777778,48.053333333333335,19.6,QC,,0,12.9,,7098605,8,,VAL D'OR A,7098605.2011.8.30,0.8,,0,5.1,2011-08-30 00:00:00,2011,M,,,,30,,,,,,M,6.2,,,,,0
-77.78277777777778,48.053333333333335,22.5,QC,,0,13.1,,7098605,8,,VAL D'OR A,7098605.2011.8.31,0,,0,4.9,2011-08-31 00:00:00,2011,M,,,,31,,,,,,M,3.7,,,,,0
-77.78277777777778,48.053333333333335,24.5,QC,,1.5,19.5,,7098605,9,,VAL D'OR A,7098605.2011.9.1,0,,0,0,2011-09-01 00:00:00,2011,M,,,,1,,,,,,M,14.4,,,,,0
-77.78277777777778,48.053333333333335,27.7,QC,,2.8,20.8,,7098605,9,,VAL D'OR A,7098605.2011.9.2,19.4,,0,0,2011-09-02 00:00:00,2011,M,,,,2,,,,,,M,13.9,,,,,0
-77.78277777777778,48.053333333333335,19.9,QC,,0,15.5,,7098605,9,,VAL D'OR A,7098605.2011.9.3,0,,0,2.5,2011-09-03 00:00:00,2011,M,,,,3,,,,,,M,11,,,,,0
-77.78277777777778,48.053333333333335,21.7,QC,,0,15.1,,7098605,9,,VAL D'OR A,7098605.2011.9.4,1.6,,0,2.9,2011-09-04 00:00:00,2011,M,,,,4,,,,,,M,8.5,,,,,0
-77.78277777777778,48.053333333333335,9.9,QC,,0,8.5,,7098605,9,,VAL D'OR A,7098605.2011.9.5,0.3,,0,9.5,2011-09-05 00:00:00,2011,M,,,,5,,,,,,M,7,,,,,0
