"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.79","49.76","MATAGAMI","7094637","2021-01-01","2021","01","01","","-3.8","","-13.4","","-8.6","","26.6","","0.0","","","","","","0.0","","55","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-02","2021","01","02","","-2.9","","-6.6","","-4.7","","22.7","","0.0","","","","","","0.0","","54","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-03","2021","01","03","","-2.1","","-4.3","","-3.2","","21.2","","0.0","","","","","","0.0","","53","","19","","41",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-04","2021","01","04","","-1.2","","-4.4","","-2.8","","20.8","","0.0","","","","","","0.0","","52","","18","","37",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-05","2021","01","05","","-1.2","","-3.3","","-2.2","","20.2","","0.0","","","","","","0.2","","51","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-06","2021","01","06","","-3.3","","-13.8","","-8.5","","26.5","","0.0","","","","","","0.0","","51","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-07","2021","01","07","","-13.4","","-17.8","","-15.6","","33.6","","0.0","","","","","","0.0","","51","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-08","2021","01","08","","-7.9","","-23.2","","-15.6","","33.6","","0.0","","","","","","0.0","","49","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-09","2021","01","09","","-5.2","","-12.1","","-8.7","","26.7","","0.0","","","","","","0.1","","49","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-10","2021","01","10","","-8.0","","-10.8","","-9.4","","27.4","","0.0","","","","","","0.0","","50","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-11","2021","01","11","","-4.5","","-8.2","","-6.4","","24.4","","0.0","","","","","","0.1","","50","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-12","2021","01","12","","-1.4","","-6.2","","-3.8","","21.8","","0.0","","","","","","0.0","","50","","24","","31",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-13","2021","01","13","","-1.0","","-3.6","","-2.3","","20.3","","0.0","","","","","","0.9","","50","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-14","2021","01","14","","-2.6","","-6.8","","-4.7","","22.7","","0.0","","","","","","0.0","","48","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-15","2021","01","15","","-0.7","","-6.2","","-3.4","","21.4","","0.0","","","","","","0.0","","51","","16","","32",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-16","2021","01","16","","-2.8","","-6.0","","-4.4","","22.4","","0.0","","","","","","5.6","","50","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-17","2021","01","17","","-3.7","","-15.3","","-9.5","","27.5","","0.0","","","","","","0.4","","55","","31","","50",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-18","2021","01","18","","-14.7","","-18.5","","-16.6","","34.6","","0.0","","","","","","0.0","","61","","32","","36",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-19","2021","01","19","","-15.5","","-21.3","","-18.4","","36.4","","0.0","","","","","","1.4","","57","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-20","2021","01","20","","-18.6","","-30.4","","-24.5","","42.5","","0.0","","","","","","0.2","","58","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-21","2021","01","21","","-9.9","","-20.1","","-15.0","","33.0","","0.0","","","","","","1.2","","60","","16","","32",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-22","2021","01","22","","-14.1","","-20.2","","-17.2","","35.2","","0.0","","","","","","0.1","","62","","32","","40",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-23","2021","01","23","","-19.0","","-24.9","","-22.0","","40.0","","0.0","","","","","","0.4","","60","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-24","2021","01","24","","-16.3","","-27.8","","-22.1","","40.1","","0.0","","","","","","0.0","","60","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-25","2021","01","25","","-10.0","","-25.3","","-17.6","","35.6","","0.0","","","","","","0.0","","60","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-26","2021","01","26","","-11.0","","-23.7","","-17.3","","35.3","","0.0","","","","","","0.0","","60","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-27","2021","01","27","","-14.2","","-18.2","","-16.2","","34.2","","0.0","","","","","","0.3","","60","","31","","32",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-28","2021","01","28","","-18.1","","-23.1","","-20.6","","38.6","","0.0","","","","","","0.3","","62","","28","","37",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-29","2021","01","29","","-16.8","","-20.4","","-18.6","","36.6","","0.0","","","","","","0.0","","63","","33","","34",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-30","2021","01","30","","-18.7","","-20.8","","-19.7","","37.7","","0.0","","","","","","0.0","","62","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-01-31","2021","01","31","","-15.9","","-26.8","","-21.4","","39.4","","0.0","","","","","","0.0","","62","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-01","2021","02","01","","-10.6","","-29.3","","-20.0","","38.0","","0.0","","","","","","0.0","","62","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-02","2021","02","02","","-8.9","","-21.0","","-15.0","","33.0","","0.0","","","","","","0.1","","62","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-03","2021","02","03","","-9.1","","-19.7","","-14.4","","32.4","","0.0","","","","","","0.0","","62","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-04","2021","02","04","","-1.1","","-21.3","","-11.2","","29.2","","0.0","","","","","","0.0","","61","","","","",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-05","2021","02","05","","-1.7","","-11.8","","-6.7","","24.7","","0.0","","","","","","1.4","","62","","17","","43",""
"-77.79","49.76","MATAGAMI","7094637","2021-02-06","2021","02","06","","-5.3","","-18.3","","-11.8","","29.8","","0.0","","","","","","0.5","","63","","19","","38",""
